50	730266001052		LD003LM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	S	26	0			
50	730266001069		LD003LM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	M	26	0			
50	730266001076		LD003LM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	L	26	0			
50	730266001083		LD004CM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	4-6	24	0			
50	730266001090		LD004CM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	6X-7	24	0			
50	730266001106		LD004CM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	8-10	24	0			
50	730266001113		LD004CM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	1214	24	0			
50	730266001120		LD004CM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	PNK 	PINK	_ 	4-6	24	0			
50	730266001137		LD004CM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	PNK 	PINK	_ 	6X-7	24	0			
50	730266001144		LD004CM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	PNK 	PINK	_ 	8-10	24	0			
50	730266001151		LD004CM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	PNK 	PINK	_ 	1214	24	0			
50	730266025522		LD004CM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	SKB 	SKY BLUE	_ 	4-6	24	0			
50	730266025539		LD004CM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	SKB 	SKY BLUE	_ 	6X-7	24	0			
50	730266025546		LD004CM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	SKB 	SKY BLUE	_ 	8-10	24	0			
50	730266025553		LD004CM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	SKB 	SKY BLUE	_ 	1214	24	0			
50	730266001168		LD004CM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	4-6	24	0			
50	730266001175		LD004CM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	6X-7	24	0			
50	730266001182		LD004CM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	8-10	24	0			
50	730266001199		LD004CM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	1214	24	0			
50	730266001205		LD004LM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	P	30	0			
50	730266001212		LD004LM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	S	30	0			
50	730266001229		LD004LM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	M	30	0			
50	730266001236		LD004LM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	L	30	0			
50	730266001243		LD004LM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	XL	30	0			
50	730266025560		LD004LM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	P	30	0			
50	730266025577		LD004LM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	S	30	0			
50	730266025584		LD004LM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	M	30	0			
50	730266025591		LD004LM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	L	30	0			
50	730266001250		LD004LM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	P	30	0			
50	730266001267		LD004LM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	S	30	0			
50	730266001274		LD004LM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	M	30	0			
50	730266001281		LD004LM   	CORE LONG SLV LEO	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	L	30	0			
50	730266000017		LD005LM   	BOY SHORT UNITARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	P	33.5	0			
50	730266000024		LD005LM   	BOY SHORT UNITARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	S	33.5	0			
50	730266000031		LD005LM   	BOY SHORT UNITARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	M	33.5	0			
50	730266000048		LD005LM   	BOY SHORT UNITARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	L	33.5	0			
50	730266025607		LD005LM   	BOY SHORT UNITARD	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	P	33.5	0			
50	730266025614		LD005LM   	BOY SHORT UNITARD	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	S	33.5	0			
50	730266025621		LD005LM   	BOY SHORT UNITARD	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	M	33.5	0			
50	730266025638		LD005LM   	BOY SHORT UNITARD	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	L	33.5	0			
50	730266001298		LD006LM   	CAMISOLE LEOTARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	P	35	0			
50	730266001304		LD006LM   	CAMISOLE LEOTARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	S	35	0			
50	730266001311		LD006LM   	CAMISOLE LEOTARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	M	35	0			
50	730266001328		LD006LM   	CAMISOLE LEOTARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	L	35	0			
50	730266025645		LD006LM   	CAMISOLE LEOTARD	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	P	35	0			
50	730266025652		LD006LM   	CAMISOLE LEOTARD	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	S	35	0			
50	730266025669		LD006LM   	CAMISOLE LEOTARD	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	M	35	0			
50	730266025676		LD006LM   	CAMISOLE LEOTARD	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	L	35	0			
50	730266001335		LD007LM   	X-OVER FRT CAMI LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	P	34	0			
50	730266001342		LD007LM   	X-OVER FRT CAMI LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	S	34	0			
50	730266001359		LD007LM   	X-OVER FRT CAMI LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	M	34	0			
50	730266001366		LD007LM   	X-OVER FRT CAMI LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	L	34	0			
50	730266025683		LD007LM   	X-OVER FRT CAMI LEO	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	P	34	0			
50	730266025690		LD007LM   	X-OVER FRT CAMI LEO	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	S	34	0			
50	730266025706		LD007LM   	X-OVER FRT CAMI LEO	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	M	34	0			
50	730266025713		LD007LM   	X-OVER FRT CAMI LEO	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	L	34	0			
50	730266001373		LD008LM   	HALTER NECK LEOTARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	P	34	0			
50	730266001380		LD008LM   	HALTER NECK LEOTARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	S	34	0			
50	730266001397		LD008LM   	HALTER NECK LEOTARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	M	34	0			
50	730266001403		LD008LM   	HALTER NECK LEOTARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	L	34	0			
50	730266025720		LD008LM   	HALTER NECK LEOTARD	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	P	34	0			
50	730266025737		LD008LM   	HALTER NECK LEOTARD	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	S	34	0			
50	730266025744		LD008LM   	HALTER NECK LEOTARD	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	M	34	0			
50	730266025751		LD008LM   	HALTER NECK LEOTARD	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	L	34	0			
50	730266001410		LD009LM   	TWIST STRAP LEOTARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	P	35	0			
50	730266001427		LD009LM   	TWIST STRAP LEOTARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	S	35	0			
50	730266001434		LD009LM   	TWIST STRAP LEOTARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	M	35	0			
50	730266001441		LD009LM   	TWIST STRAP LEOTARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	L	35	0			
50	730266025768		LD009LM   	TWIST STRAP LEOTARD	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	P	35	0			
