30	688478744871		AFBS      	SP3 	_ 	CM	0	AT ONCE
30	688478744888		AFBS      	SP3 	_ 	CL	0	AT ONCE
30	688478744895		AFBS      	SP3 	_ 	P	0	AT ONCE
30	688478744901		AFBS      	SP3 	_ 	S	0	AT ONCE
30	688478744918		AFBS      	SP3 	_ 	M	0	AT ONCE
30	688478744925		AFBS      	SP3 	_ 	L	0	AT ONCE
30	688478744932		AFBS      	SP4 	_ 	CM	0	AT ONCE
30	688478744949		AFBS      	SP4 	_ 	CL	0	AT ONCE
30	688478744956		AFBS      	SP4 	_ 	P	0	AT ONCE
30	688478744963		AFBS      	SP4 	_ 	S	0	AT ONCE
30	688478744970		AFBS      	SP4 	_ 	M	0	AT ONCE
30	688478744987		AFBS      	SP4 	_ 	L	0	AT ONCE
30	688478744994		AFBS      	SP5 	_ 	CM	0	AT ONCE
30	688478745007		AFBS      	SP5 	_ 	CL	0	AT ONCE
30	688478745014		AFBS      	SP5 	_ 	P	0	AT ONCE
30	688478745021		AFBS      	SP5 	_ 	S	0	AT ONCE
30	688478745038		AFBS      	SP5 	_ 	M	0	AT ONCE
30	688478745045		AFBS      	SP5 	_ 	L	0	AT ONCE
30	688478745052		AFBS      	WPL 	_ 	CM	0	AT ONCE
30	688478745069		AFBS      	WPL 	_ 	CL	0	AT ONCE
30	688478745076		AFBS      	WPL 	_ 	P	0	AT ONCE
30	688478745083		AFBS      	WPL 	_ 	S	0	AT ONCE
30	688478745090		AFBS      	WPL 	_ 	M	0	AT ONCE
30	688478745106		AFBS      	WPL 	_ 	L	0	AT ONCE
30	688478745113		AFBT      	BLK 	_ 	CM	0	AT ONCE
30	688478745120		AFBT      	BLK 	_ 	CL	0	AT ONCE
30	688478745137		AFBT      	BLK 	_ 	P	0	AT ONCE
30	688478745144		AFBT      	BLK 	_ 	S	0	AT ONCE
30	688478745151		AFBT      	BLK 	_ 	M	0	AT ONCE
30	688478745168		AFBT      	BLK 	_ 	L	0	AT ONCE
30	688478745175		AFBT      	DTL 	_ 	CM	0	AT ONCE
30	688478745182		AFBT      	DTL 	_ 	CL	0	AT ONCE
30	688478745199		AFBT      	DTL 	_ 	P	0	AT ONCE
30	688478745205		AFBT      	DTL 	_ 	S	0	AT ONCE
30	688478745212		AFBT      	DTL 	_ 	M	0	AT ONCE
30	688478745229		AFBT      	DTL 	_ 	L	0	AT ONCE
30	688478745236		AFBT      	KHK 	_ 	CM	0	AT ONCE
30	688478745243		AFBT      	KHK 	_ 	CL	0	AT ONCE
30	688478745250		AFBT      	KHK 	_ 	P	0	AT ONCE
30	688478745267		AFBT      	KHK 	_ 	S	0	AT ONCE
30	688478745274		AFBT      	KHK 	_ 	M	0	AT ONCE
30	688478745281		AFBT      	KHK 	_ 	L	0	AT ONCE
30	688478745298		AFBT      	WPL 	_ 	CM	0	AT ONCE
30	688478745304		AFBT      	WPL 	_ 	CL	0	AT ONCE
30	688478745311		AFBT      	WPL 	_ 	P	0	AT ONCE
30	688478745328		AFBT      	WPL 	_ 	S	0	AT ONCE
30	688478745335		AFBT      	WPL 	_ 	M	0	AT ONCE
30	688478745342		AFBT      	WPL 	_ 	L	0	AT ONCE
30	688478745359		AH0101L   	BLK 	_ 	EA	0	AT ONCE
30	688478745366		AH0101L   	BUR 	_ 	EA	0	AT ONCE
30	688478745373		AH0101L   	NAT 	_ 	EA	0	AT ONCE
30	688478745380		AJCT      	AMT 	_ 	CM	0	AT ONCE
30	688478745397		AJCT      	AMT 	_ 	CL	0	AT ONCE
30	688478745403		AJCT      	AMT 	_ 	P	0	AT ONCE
30	688478745410		AJCT      	AMT 	_ 	S	0	AT ONCE
30	688478745427		AJCT      	AMT 	_ 	M	0	AT ONCE
30	688478745434		AJCT      	AMT 	_ 	L	0	AT ONCE
30	688478745441		AJCT      	BLK 	_ 	CM	0	AT ONCE
30	688478745458		AJCT      	BLK 	_ 	CL	0	AT ONCE
30	688478745465		AJCT      	BLK 	_ 	P	0	AT ONCE
30	688478745472		AJCT      	BLK 	_ 	S	0	AT ONCE
30	688478745489		AJCT      	BLK 	_ 	M	0	AT ONCE
30	688478745496		AJCT      	BLK 	_ 	L	0	AT ONCE
30	688478745502		AJCT      	COR 	_ 	CM	0	AT ONCE
30	688478745519		AJCT      	COR 	_ 	CL	0	AT ONCE
30	688478745526		AJCT      	COR 	_ 	P	0	AT ONCE
30	688478745533		AJCT      	COR 	_ 	S	0	AT ONCE
30	688478745540		AJCT      	COR 	_ 	M	0	AT ONCE
30	688478745557		AJCT      	COR 	_ 	L	0	AT ONCE
30	688478745564		AJCT      	DNM 	_ 	CM	0	AT ONCE
30	688478745571		AJCT      	DNM 	_ 	CL	0	AT ONCE
30	688478745588		AJCT      	DNM 	_ 	P	0	AT ONCE
30	688478745595		AJCT      	DNM 	_ 	S	0	AT ONCE
30	688478745601		AJCT      	DNM 	_ 	M	0	AT ONCE
30	688478745618		AJCT      	DNM 	_ 	L	0	AT ONCE
30	688478745625		AJCT      	DTL 	_ 	CM	0	AT ONCE
30	688478745632		AJCT      	DTL 	_ 	CL	0	AT ONCE
30	688478745649		AJCT      	DTL 	_ 	P	0	AT ONCE
30	688478745656		AJCT      	DTL 	_ 	S	0	AT ONCE
30	688478745663		AJCT      	DTL 	_ 	M	0	AT ONCE
30	688478745670		AJCT      	DTL 	_ 	L	0	AT ONCE
30	688478006719		AJCT      	KHK 	_ 	CM	0	AT ONCE
30	688478745687		AJCT      	KHK 	_ 	CL	0	AT ONCE
30	688478745694		AJCT      	KHK 	_ 	P	0	AT ONCE
30	688478745700		AJCT      	KHK 	_ 	S	0	AT ONCE
30	688478745717		AJCT      	KHK 	_ 	M	0	AT ONCE
30	688478745724		AJCT      	KHK 	_ 	L	0	AT ONCE
30	688478745731		AJCT      	LPK 	_ 	CM	0	AT ONCE
30	688478745748		AJCT      	LPK 	_ 	CL	0	AT ONCE
30	688478745755		AJCT      	LPK 	_ 	P	0	AT ONCE
30	688478745762		AJCT      	LPK 	_ 	S	0	AT ONCE
30	688478745779		AJCT      	LPK 	_ 	M	0	AT ONCE
30	688478745786		AJCT      	LPK 	_ 	L	0	AT ONCE
30	688478745793		AJCT      	WPL 	_ 	CM	0	AT ONCE
30	688478745809		AJCT      	WPL 	_ 	CL	0	AT ONCE
30	688478745816		AJCT      	WPL 	_ 	P	0	AT ONCE
30	688478745823		AJCT      	WPL 	_ 	S	0	AT ONCE
30	688478745830		AJCT      	WPL 	_ 	M	0	AT ONCE
30	688478745847		AJCT      	WPL 	_ 	L	0	AT ONCE
30	688478745854		AJZP      	BLK 	_ 	CM	0	AT ONCE
30	688478745861		AJZP      	BLK 	_ 	CL	0	AT ONCE
30	688478745878		AJZP      	BLK 	_ 	P	0	AT ONCE
30	688478745885		AJZP      	BLK 	_ 	S	0	AT ONCE
30	688478745892		AJZP      	BLK 	_ 	M	0	AT ONCE
30	688478745908		AJZP      	BLK 	_ 	L	0	AT ONCE
